,Actual_Price,Predicted_Price,Date
2677,266.04998779296875,261.6446512417365,2021-01-29
2678,262.4599914550781,262.63526742021327,2021-01-30
2679,260.4333190917969,260.8548130492281,2021-01-31
2680,238.1666717529297,244.18240348905235,2021-02-01
2681,232.94667053222656,227.04289045987983,2021-02-02
2682,247.33999633789065,243.08208947537494,2021-02-03
2683,227.4066619873047,233.0580396212512,2021-02-04
2684,225.1666717529297,226.1057092289944,2021-02-05
2685,239.47666931152344,237.14370528755592,2021-02-06
2686,228.81333923339844,232.47805011060362,2021-02-07
2687,217.73333740234372,224.903034920568,2021-02-08
2688,207.14666748046875,210.09866726543225,2021-02-09
2689,199.3166656494141,190.4103335981626,2021-02-10
2690,187.6666717529297,196.86340262871352,2021-02-11
2691,224.52667236328125,221.15125715723894,2021-02-12
2692,222.6866607666016,228.6028744037918,2021-02-13
2693,233.1999969482422,228.54710112559061,2021-02-14
2694,231.2433319091797,229.43749749091197,2021-02-15
2695,235.97999572753903,234.3445211493064,2021-02-16
2696,225.6266632080078,228.24313030241274,2021-02-17
2697,233.9366607666016,231.57684653826286,2021-02-18
2698,217.72000122070312,222.04228307449765,2021-02-19
2699,218.2899932861328,213.42599781449627,2021-02-20
2700,223.3333282470703,228.69661206636312,2021-02-21
2701,220.72000122070312,221.19362672708823,2021-02-22
2702,210.08999633789065,213.94619307283622,2021-02-23
2703,213.4633331298828,212.97734421564027,2021-02-24
2704,206.23666381835935,205.0197512195544,2021-02-25
2705,203.76333618164065,200.58048472156688,2021-02-26
2706,211.8733367919922,208.82471653583076,2021-02-27
2707,222.6433258056641,221.4938889919944,2021-02-28
2708,220.5833282470703,223.80007102462005,2021-03-01
2709,230.3500061035156,230.29610903316043,2021-03-02
2710,230.5399932861328,229.27400669984263,2021-03-03
2711,223.6566619873047,225.48575869834602,2021-03-04
2712,227.93333435058597,227.51868048770322,2021-03-05
2713,225.67333984375,224.28967050419527,2021-03-06
2714,233.9933319091797,232.88967057198326,2021-03-07
2715,254.10667419433597,251.97298893123232,2021-03-08
2716,244.07666015625,250.17853304787528,2021-03-09
2717,246.2833404541016,242.3706041092684,2021-03-10
2718,246.5933380126953,247.58309386678621,2021-03-11
2719,238.2100067138672,234.946661179908,2021-03-12
2720,239.663330078125,242.99328352851305,2021-03-13
2721,248.0399932861328,245.17176265585962,2021-03-14
2722,239.89666748046875,245.1585247523223,2021-03-15
2723,243.13333129882807,243.57627430913777,2021-03-16
2724,246.0666656494141,246.85660142904715,2021-03-17
2725,234.913330078125,237.21760442862544,2021-03-18
2726,231.46665954589844,234.41627530570628,2021-03-19
2727,225.6666717529297,226.6750850625262,2021-03-20
2728,236.47999572753903,236.36485771743023,2021-03-21
2729,228.3000030517578,229.5216063895037,2021-03-22
2730,224.5333404541016,222.41497777239965,2021-03-23
2731,223.64666748046875,224.60005473642997,2021-03-24
2732,221.17999267578125,219.72290777861002,2021-03-25
2733,224.1233367919922,227.49638735621912,2021-03-26
2734,209.67999267578125,213.06980306533322,2021-03-27
2735,205.73333740234372,206.90284826356168,2021-03-28
2736,196.6300048828125,202.38849510997858,2021-03-29
2737,190.56333923339844,192.56291757130984,2021-03-30
2738,196.5800018310547,193.96061680874556,2021-03-31
2739,192.27667236328125,192.55197222204077,2021-04-01
2740,192.6233367919922,196.4735964775046,2021-04-02
2741,187.82000732421875,186.54609602225736,2021-04-03
2742,195.5933380126953,194.4157568190102,2021-04-04
2743,193.6266632080078,194.7406417289407,2021-04-05
2744,202.14666748046875,201.7660386000689,2021-04-06
2745,201.56333923339844,201.30883431077478,2021-04-07
2746,206.3766632080078,206.29056722163278,2021-04-08
2747,210.2833404541016,208.490990000746,2021-04-09
2748,208.4066619873047,209.61315255871216,2021-04-10
2749,207.96665954589844,208.81457327988346,2021-04-11
2750,201.7066650390625,202.55330491255012,2021-04-12
2751,190.94667053222656,194.3262354813147,2021-04-13
2752,199.68333435058597,198.50777141977605,2021-04-14
2753,201.7100067138672,200.34758507391905,2021-04-15
2754,201.19667053222656,201.16766309317435,2021-04-16
2755,199.5933380126953,202.00802097302105,2021-04-17
2756,203.3733367919922,203.77241331059565,2021-04-18
2757,203.29666137695312,201.52863086970638,2021-04-19
2758,205.89666748046875,206.7932841590351,2021-04-20
2759,199.7866668701172,200.95839408602546,2021-04-21
2760,201.6233367919922,200.9841421660355,2021-04-22
2761,205.5333404541016,205.86194499691845,2021-04-23
2762,207.7700042724609,208.0096425687849,2021-04-24
2763,206.94332885742188,206.26414160851365,2021-04-25
2764,207.90333557128903,207.9300735360332,2021-04-26
2765,218.85667419433597,217.31988124906044,2021-04-27
2766,226.60667419433597,229.63316555229343,2021-04-28
