Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,31.8125,31.8125,31.25,31.25,13.640592575073242,48500
2000-01-04,31.125,31.125,30.5,30.5625,13.34049129486084,25200
2000-01-05,30.5,30.5625,30.0,30.0,13.094970703125,12900
2000-01-06,29.875,29.875,29.375,29.4375,12.849438667297363,20300
2000-01-07,29.375,30.0,29.375,30.0,13.094970703125,18700
2000-01-10,30.125,30.5,30.0,30.375,13.258659362792969,19600
2000-01-11,30.4375,30.4375,30.25,30.4375,13.285932540893555,18500
2000-01-12,30.375,30.375,29.8125,30.0,13.094970703125,43900
2000-01-13,30.0,30.125,29.5,30.125,13.149532318115234,10500
2000-01-14,30.25,30.375,30.125,30.3125,13.23137378692627,4500
2000-01-18,30.3125,30.375,30.0,30.375,13.258659362792969,101800
2000-01-19,30.625,30.625,30.1875,30.25,13.204092025756836,26800
2000-01-20,30.125,30.375,30.125,30.25,13.204092025756836,14300
2000-01-21,30.125,30.1875,30.0625,30.125,13.149532318115234,7600
2000-01-24,30.1875,30.25,30.0,30.0,13.094970703125,18600
2000-01-25,30.0,30.0,29.875,29.9375,13.0676851272583,11600
2000-01-26,29.875,30.25,29.625,29.6875,12.958564758300781,33700
2000-01-27,29.75,30.1875,29.5625,30.0625,13.122244834899902,22400
2000-01-28,30.125,30.1875,29.5,29.5625,12.904001235961914,7900
2000-01-31,29.625,29.6875,29.5,29.5,12.876720428466797,14300
2000-02-01,29.5625,29.75,29.5625,29.75,12.985844612121582,6600
2000-02-02,29.8125,29.9375,29.75,29.8125,13.013128280639648,8100
2000-02-03,29.875,29.875,29.5,29.5,12.876720428466797,33100
2000-02-04,29.6875,29.6875,29.5,29.5625,12.904001235961914,3600
2000-02-07,29.5625,29.5625,29.4375,29.4375,12.849438667297363,67000
2000-02-08,29.4375,29.4375,29.125,29.1875,12.740320205688477,7300
2000-02-09,29.0,29.125,29.0,29.125,12.713034629821777,26600
2000-02-10,29.1875,29.375,29.1875,29.25,12.767589569091797,6600
2000-02-11,29.1875,29.4375,29.0,29.125,12.713034629821777,28300
2000-02-14,29.25,29.625,29.1875,29.625,12.931280136108398,9300
2000-02-15,29.75,29.875,29.625,29.6875,12.958564758300781,34300
2000-02-16,29.3125,29.375,29.0,29.1875,12.740320205688477,165300
2000-02-17,29.1875,29.5,29.125,29.3125,12.794868469238281,38900
2000-02-18,29.875,30.1875,29.6875,29.8125,13.013128280639648,59500
2000-02-22,29.8125,29.8125,29.5,29.75,12.985844612121582,33100
2000-02-23,29.6875,29.875,29.4375,29.875,13.040404319763184,25400
2000-02-24,29.875,29.875,29.4375,29.5,12.876720428466797,26800
2000-02-25,29.6875,29.75,29.3125,29.375,12.82215690612793,13600
2000-02-28,29.375,29.875,29.375,29.75,12.985844612121582,37100
2000-02-29,30.25,30.625,30.1875,30.5625,13.34049129486084,113700
2000-03-01,30.4375,30.6875,30.0,30.625,13.367782592773438,52200
2000-03-02,30.375,30.375,29.875,30.0,13.094970703125,58000
2000-03-03,29.875,30.3125,29.875,30.1875,13.176804542541504,56300
2000-03-06,30.1875,30.1875,29.875,30.0625,13.122244834899902,13300
2000-03-07,30.0625,30.0625,29.625,29.625,12.931280136108398,89700
2000-03-08,29.625,30.0625,29.625,30.0625,13.122244834899902,20800
2000-03-09,30.0,30.4375,30.0,30.375,13.258659362792969,15400
2000-03-10,30.25,30.25,29.875,30.125,13.149532318115234,26600
2000-03-13,30.1875,30.25,30.0625,30.1875,13.176804542541504,86500
2000-03-14,30.25,30.8125,30.25,30.625,13.367782592773438,37800
2000-03-15,30.625,31.0,30.5,30.75,13.422341346740723,26200
2000-03-16,30.9375,30.9375,30.6875,30.875,13.476905822753906,26300
2000-03-17,30.75,30.9375,30.6875,30.75,13.422341346740723,45300
2000-03-20,30.6875,30.875,30.625,30.8125,13.449625968933105,7000
2000-03-21,30.8125,30.875,30.5625,30.875,13.476905822753906,53800
2000-03-22,30.8125,31.125,30.8125,31.125,13.58602523803711,18400
2000-03-23,31.125,31.625,31.0,31.5625,13.776999473571777,16300
2000-03-24,31.5,31.8125,31.5,31.625,13.804281234741211,15800
2000-03-27,31.6875,32.0,31.6875,31.875,13.913406372070312,21500
2000-03-28,31.75,31.75,31.25,31.25,13.640592575073242,23900
2000-03-29,31.375,31.4375,30.9375,30.9375,13.504186630249023,18000
2000-03-30,31.0625,31.0625,30.5,30.75,13.422341346740723,46800
2000-03-31,30.3125,30.4375,30.0,30.0,13.280686378479004,45800
2000-04-03,30.25,30.25,30.0625,30.25,13.391348838806152,10000
2000-04-04,30.1875,30.625,30.1875,30.625,13.557361602783203,9300
2000-04-05,30.3125,30.375,30.0,30.3125,13.419021606445312,155200
2000-04-06,30.4375,30.8125,30.4375,30.8125,13.640368461608887,21700
2000-04-07,30.9375,31.0625,30.9375,31.0625,13.751033782958984,23600
2000-04-10,31.0625,31.5,31.0,31.5,13.944714546203613,54800
2000-04-11,31.5,31.5625,31.4375,31.5,13.944714546203613,17300
2000-04-12,31.375,31.875,31.3125,31.75,14.055394172668457,37500
2000-04-13,32.0,32.125,31.8125,32.0,14.166058540344238,55300
2000-04-14,32.0625,32.0625,31.75,32.0,14.166058540344238,67900
2000-04-17,32.125,32.125,31.875,32.0,14.166058540344238,59200
2000-04-18,32.0625,32.0625,31.5625,31.875,14.110726356506348,34700
2000-04-19,31.875,31.9375,31.8125,31.9375,14.13839340209961,12100
2000-04-20,31.9375,32.0,31.875,31.9375,14.13839340209961,8700
2000-04-24,31.9375,31.9375,31.8125,31.9375,14.13839340209961,5600
2000-04-25,32.0,32.0,31.75,31.875,14.110726356506348,5600
2000-04-26,31.9375,32.0,31.4375,31.625,14.000052452087402,18900
2000-04-27,31.625,32.0,31.625,31.9375,14.13839340209961,19800
2000-04-28,32.0,32.0,31.75,32.0,14.166058540344238,26900
2000-05-01,32.125,32.375,32.0,32.375,14.332063674926758,84300
2000-05-02,32.5,33.25,32.5,33.25,14.71942138671875,85700
2000-05-03,33.25,33.3125,32.6875,32.6875,14.470407485961914,41400
2000-05-04,32.75,32.875,32.375,32.75,14.498077392578125,22800
2000-05-05,32.75,33.1875,32.75,33.1875,14.69175910949707,54300
2000-05-08,33.25,33.25,32.9375,32.9375,14.581071853637695,11900
2000-05-09,32.9375,33.5,32.9375,33.5,14.830095291137695,32100
2000-05-10,33.5,33.5,33.0625,33.5,14.830095291137695,17400
2000-05-11,33.4375,34.0625,33.4375,34.0625,15.079106330871582,59400
2000-05-12,33.125,33.875,33.0625,33.6875,14.913100242614746,95400
2000-05-15,33.9375,34.5,33.875,34.5,15.272787094116211,77200
2000-05-16,34.5,34.5625,34.375,34.5,15.272787094116211,37000
2000-05-17,34.5,34.5625,34.4375,34.5625,15.300447463989258,73500
2000-05-18,34.8125,34.8125,34.5,34.5625,15.300447463989258,33200
2000-05-19,34.5,34.625,34.375,34.5625,15.300447463989258,36500
2000-05-22,34.5625,34.5625,34.0,34.5625,15.300447463989258,75100
2000-05-23,34.5625,34.5625,34.125,34.125,15.106771469116211,44700
2000-05-24,34.25,34.25,33.375,33.5,14.830095291137695,22100
2000-05-25,33.5625,33.5625,33.5,33.5,14.830095291137695,37000
2000-05-26,33.5,33.5625,33.1875,33.5625,14.857760429382324,44900
2000-05-30,33.5625,34.0,33.5,34.0,15.051435470581055,26600
2000-05-31,34.0,34.125,33.75,33.8125,14.968436241149902,43700
2000-06-01,33.8125,33.875,33.0,33.0,14.608749389648438,38900
